Year,Albedo_Effect (0-1)
1995,0.3
1996,0.29310344827586204
1997,0.28620689655172415
1998,0.2793103448275862
1999,0.27241379310344827
2000,0.2655172413793103
2001,0.25862068965517243
2002,0.2517241379310345
2003,0.24482758620689654
2004,0.23793103448275862
2005,0.2310344827586207
2006,0.22413793103448276
2007,0.21724137931034482
2008,0.2103448275862069
2009,0.20344827586206898
2010,0.19655172413793104
2011,0.1896551724137931
2012,0.18275862068965518
2013,0.17586206896551726
2014,0.16896551724137931
2015,0.1620689655172414
2016,0.15517241379310345
2017,0.14827586206896554
2018,0.1413793103448276
2019,0.13448275862068967
2020,0.12758620689655173
2021,0.12068965517241381
2022,0.11379310344827587
2023,0.10689655172413795
2024,0.1
