Year, Total Population, Avg Temperature, Built-Up, Vegetation, Pollution, Traffic, Urban Heat Index
1995, 300, 6.59687687894669, 49.55600127429833, 20.82864511957856, 79.04878984392602, 79.07400929851514, -18.403123121053312
1996, 300, 6.59687687894669, 49.55600127429844, 20.828645119578542, 79.04878984392596, 79.0740092985152, -18.403123121053312
1997, 300, 6.59687687894669, 49.556001274298325, 20.82864511957853, 79.0487898439261, 79.07400929851505, -18.403123121053312
1998, 300, 6.59687687894669, 49.55600127429829, 20.828645119578542, 79.04878984392603, 79.07400929851505, -18.403123121053312
1999, 300, 6.59687687894669, 49.55600127429839, 20.82864511957856, 79.0487898439261, 79.07400929851516, -18.403123121053312
2000, 300, 6.59687687894669, 49.556001274298346, 20.82864511957852, 79.04878984392595, 79.07400929851507, -18.403123121053312
2001, 300, 6.59687687894669, 49.55600127429839, 20.828645119578525, 79.04878984392603, 79.07400929851514, -18.403123121053312
2002, 300, 6.59687687894669, 49.55600127429843, 20.828645119578493, 79.04878984392609, 79.07400929851507, -18.403123121053312
2003, 300, 6.59687687894669, 49.556001274298374, 20.82864511957855, 79.04878984392607, 79.07400929851514, -18.403123121053312
2004, 300, 6.59687687894669, 49.55600127429832, 20.82864511957853, 79.04878984392607, 79.07400929851511, -18.403123121053312
2005, 300, 6.59687687894669, 49.55600127429835, 20.828645119578532, 79.048789843926, 79.07400929851515, -18.403123121053312
2006, 300, 6.59687687894669, 49.556001274298374, 20.828645119578542, 79.04878984392595, 79.07400929851508, -18.403123121053312
2007, 300, 6.59687687894669, 49.55600127429837, 20.828645119578535, 79.0487898439261, 79.07400929851514, -18.403123121053312
2008, 300, 6.59687687894669, 49.556001274298396, 20.82864511957853, 79.048789843926, 79.0740092985153, -18.403123121053312
2009, 300, 6.59687687894669, 49.556001274298346, 20.82864511957855, 79.04878984392614, 79.07400929851515, -18.403123121053312
2010, 300, 6.59687687894669, 49.556001274298346, 20.82864511957858, 79.04878984392612, 79.07400929851516, -18.403123121053312
2011, 300, 6.59687687894669, 49.55600127429839, 20.828645119578514, 79.04878984392607, 79.07400929851514, -18.403123121053312
2012, 300, 6.59687687894669, 49.556001274298346, 20.828645119578535, 79.04878984392599, 79.07400929851508, -18.403123121053312
2013, 300, 6.59687687894669, 49.55600127429841, 20.82864511957851, 79.04878984392604, 79.07400929851514, -18.403123121053312
2014, 300, 6.59687687894669, 49.556001274298346, 20.82864511957858, 79.04878984392607, 79.07400929851514, -18.403123121053312
2015, 300, 6.59687687894669, 49.55600127429831, 20.828645119578546, 79.04878984392607, 79.074009298515, -18.403123121053312
2016, 300, 6.59687687894669, 49.55600127429843, 20.82864511957856, 79.04878984392593, 79.07400929851511, -18.403123121053312
2017, 300, 6.59687687894669, 49.55600127429832, 20.828645119578535, 79.04878984392602, 79.07400929851516, -18.403123121053312
2018, 300, 6.59687687894669, 49.5560012742984, 20.828645119578525, 79.04878984392617, 79.07400929851522, -18.403123121053312
2019, 300, 6.59687687894669, 49.55600127429828, 20.82864511957853, 79.04878984392603, 79.07400929851514, -18.403123121053312
2020, 300, 6.59687687894669, 49.556001274298374, 20.828645119578542, 79.04878984392603, 79.07400929851512, -18.403123121053312
2021, 300, 6.59687687894669, 49.5560012742985, 20.828645119578532, 79.048789843926, 79.07400929851514, -18.403123121053312
2022, 300, 6.59687687894669, 49.556001274298346, 20.828645119578493, 79.04878984392609, 79.07400929851512, -18.403123121053312
2023, 300, 6.59687687894669, 49.55600127429847, 20.828645119578542, 79.0487898439259, 79.07400929851507, -18.403123121053312
2024, 300, 6.59687687894669, 49.55600127429847, 20.828645119578503, 79.04878984392602, 79.07400929851529, -18.403123121053312
