Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Dec,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,79,63.8,54,59,54.9,50,96,77.3,36,7,1.5,0,0,0,0,0
2,79,63.9,53,60,55.1,53,100,76.9,42,5,1.6,0,0,0,0,0
3,82,64.4,52,60,54.5,51,100,75.5,34,5,1.1,0,0,0,0,0
4,74,61.9,51,52,51.1,49,92,70.3,44,7,3.1,0,0,0,0,0
5,76,60,48,50,46.6,43,92,66,33,12,3.3,0,0,0,0,0
6,76,59.9,49,50,46.8,44,92,66.9,32,9,2.4,0,0,0,0,0
7,75,57.5,46,51,46.4,41,95,72.4,30,5,1.4,0,0,0,0,0
8,73,60,47,56,50,46,97,73.5,42,5,1.5,0,0,0,0,0
9,70,56.3,49,53,49.1,46,100,80.3,45,3,0.6,0,0,0,0,0
10,72,55.1,45,48,43,38,97,69.9,30,3,1,0,0,0,0,0
11,72,55,42,43,38.1,32,94,60.1,28,5,1.6,0,0,0,0,0
12,72,55.3,41,47,43.5,40,97,69.9,32,7,2,0,0,0,0,0
13,72,58.8,50,44,40.9,34,82,54.9,24,12,4.9,0,0,0,0,0
14,72,55.6,45,45,41,34,94,63.9,25,7,3.4,0,0,0,0,0
15,72,53.8,43,46,42.3,37,97,71.9,28,3,0.4,0,0,0,0,0
16,74,54.4,41,54,46.1,40,100,77.8,41,0,0,0,0,0,0,0
17,74,55.5,45,53,47.6,43,97,79.3,41,3,0.6,0,0,0,0,0
18,72,54.8,46,55,49.1,44,100,83.9,49,2,0.5,0,0,0,0,0
19,72,55.1,43,57,48.9,43,100,82.4,42,2,0.5,0,0,0,0,0
20,72,57.4,47,56,51.6,47,100,83.4,52,0,0,0,0,0,0,0
21,73,56.3,46,54,48.8,46,100,80.4,43,0,0,0,0,0,0,0
22,74,56.9,46,55,49.8,46,100,80.6,49,2,0.3,0,0,0,0,0
23,64,56.6,49,56,53.4,48,97,90.1,71,2,0.5,0,0,0,0,0
24,69,58.3,51,58,53.4,51,100,86,54,2,0.3,0,0,0,0,0.02
25,72,57.8,49,58,53,49,100,85.9,57,3,0.6,0,0,0,0,0.12
26,73,59.6,49,58,53.4,49,100,82.8,47,0,0,0,0,0,0,0
27,59,57.8,57,59,57.8,57,100,100,100,3,1.1,0,0,0,0,0.35
28,60,58.1,56,59,57.9,56,100,99.3,98,3,1.1,0,0,0,0,1.61
29,63,56.9,54,57,54.4,53,100,92.4,78,9,4.1,2,0,0,0,0
30,58,53.4,51,53,49.6,48,97,87.6,74,9,3.4,0,0,0,0,0
31,62,54.3,49,53,48.7,47,97,82.3,60,2,0.6,0,0,0,0,0
,71.19,57.56,48.19,53.52,49.25,45.32,97.19,78.19,47.13,4.42,1.40,0.06,0.00,0.00,0.00,0.07
